# cu        rbx       run       rm        sipm_ch   uhtr_ch   shunt     max_adc   max_pc    result    
6         0         4         3         20        32        31        211       867.22    1         
6         0         4         3         21        33        31        216       1049.75   1         
6         0         4         3         22        34        31        210       830.71    1         
6         0         4         3         23        35        31        211       867.22    1         
6         0         4         3         24        36        31        213       940.23    1         
6         0         4         3         25        37        31        211       867.22    1         
6         0         4         3         26        38        31        213       940.23    1         
6         0         4         3         27        39        31        215       1013.24   1         
6         0         4         3         28        40        31        219       1159.26   1         
6         0         4         3         29        41        31        219       1159.26   1         
6         0         4         3         30        42        31        216       1049.75   1         
6         0         4         3         31        43        31        219       1159.26   1         
6         0         4         3         32        44        31        204       675.51    1         
6         0         4         3         33        45        31        209       794.21    1         
6         0         4         3         34        46        31        209       794.21    1         
6         0         4         3         35        47        31        202       639.00    1         
6         0         4         3         36        48        31        210       830.71    1         
6         0         4         3         37        49        31        205       693.76    1         
6         0         4         3         38        50        31        209       794.21    1         
6         0         4         3         39        51        31        207       730.27    1         
6         0         4         3         40        52        31        209       794.21    1         
6         0         4         3         41        53        31        213       940.23    1         
6         0         4         3         42        54        31        217       1086.25   1         
6         0         4         3         43        55        31        215       1013.24   1         
6         0         4         3         44        56        31        212       903.73    1         
6         0         4         3         45        57        31        214       976.74    1         
6         0         4         3         46        58        31        216       1049.75   1         
6         0         4         3         47        59        31        209       794.21    1         
6         0         4         4         0         84        31        209       794.21    1         
6         0         4         4         1         85        31        213       940.23    1         
6         0         4         4         2         86        31        214       976.74    1         
6         0         4         4         3         87        31        209       794.21    1         
6         0         4         4         4         88        31        213       940.23    1         
6         0         4         4         5         89        31        205       693.76    1         
6         0         4         4         6         90        31        212       903.73    1         
6         0         4         4         7         91        31        212       903.73    1         
6         0         4         4         8         92        31        208       757.70    1         
6         0         4         4         9         93        31        212       903.73    1         
6         0         4         4         10        94        31        203       657.26    1         
6         0         4         4         11        95        31        218       1122.76   1         
6         0         4         4         12        96        31        207       730.27    1         
6         0         4         4         13        97        31        210       830.71    1         
6         0         4         4         14        98        31        214       976.74    1         
6         0         4         4         15        99        31        209       794.21    1         
6         0         4         4         16        100       31        214       976.74    1         
6         0         4         4         17        101       31        211       867.22    1         
6         0         4         4         18        102       31        207       730.27    1         
